,loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
4669,4669,12.7.2023, 012:38:11.00,4.48,37.439636,24.945656,-40.0,-20.66,54.58,242.69,254.08,11.39,28.43,96,96,0,1
4672,4672,12.7.2023, 012:38:12.00,4.39,37.439629,24.945644,-38.78,-19.44,58.11,243.38,255.78,12.4,27.11,96,96,0,1
4675,4675,12.7.2023, 012:38:13.00,4.56,37.439625,24.945631,-38.78,-15.78,54.58,247.86,255.94,8.09,25.84,90,90,0,1
4679,4679,12.7.2023, 012:38:14.00,4.52,37.439621,24.94562,-38.78,-12.13,58.11,252.64,256.71,4.08,24.87,90,90,0,1
4684,4684,12.7.2023, 012:38:15.00,4.56,37.439613,24.945606,-41.22,-18.22,55.76,246.15,256.94,10.78,23.52,90,90,0,1
4688,4688,12.7.2023, 012:38:16.00,4.41,37.43961,24.945593,-41.22,-12.13,55.76,253.61,257.19,3.58,22.26,90,90,0,1
4692,4692,12.7.2023, 012:38:17.00,4.61,37.439606,24.94558,-40.0,-13.34,58.11,251.55,258.48,6.93,21.0,90,90,0,1
4696,4696,12.7.2023, 012:38:18.00,4.33,37.439602,24.945566,-37.56,-17.0,55.76,245.65,258.87,13.22,19.67,96,96,0,1
4698,4698,12.7.2023, 012:38:19.00,4.41,37.439598,24.945553,-38.78,-12.13,58.11,252.64,259.97,7.33,18.56,90,90,0,1
4702,4702,12.7.2023, 012:38:20.00,4.54,37.439594,24.945539,-42.44,-13.34,58.11,252.55,259.89,7.34,17.3,90,90,0,1
4706,4706,12.7.2023, 012:38:21.00,4.37,37.43959,24.945528,-41.22,-14.56,59.29,250.54,261.22,10.68,16.2,96,96,0,1
4710,4710,12.7.2023, 012:38:22.00,4.32,37.439587,24.945515,-42.44,-12.13,58.11,254.05,263.4,9.35,14.95,90,90,0,1
4714,4714,12.7.2023, 012:38:23.00,4.41,37.439583,24.945501,-43.66,-10.91,59.29,255.97,263.61,7.64,13.7,90,90,0,1
4717,4717,12.7.2023, 012:38:24.00,4.56,37.439579,24.945488,-44.88,-10.91,59.29,256.34,262.22,5.88,12.6,90,90,0,1
4721,4721,12.7.2023, 012:38:25.00,4.22,37.439575,24.945477,-37.56,-12.13,62.81,252.11,265.26,13.15,11.51,96,96,0,1
4725,4725,12.7.2023, 012:38:26.00,4.56,37.439571,24.945463,-47.31,-12.13,58.11,255.63,266.82,11.19,10.28,96,96,0,1
4729,4729,12.7.2023, 012:38:27.00,4.37,37.439568,24.94545,-40.0,-10.91,60.46,254.75,270.0,15.25,9.05,96,96,0,1
4733,4733,12.7.2023, 012:38:28.00,4.3,37.439564,24.945436,-43.66,-8.47,58.11,259.02,272.77,13.75,7.85,96,96,0,1
4737,4737,12.7.2023, 012:38:29.00,4.39,37.43956,24.945423,-37.56,-6.03,59.29,260.88,279.53,18.65,6.83,102,102,0,1
4741,4741,12.7.2023, 012:38:30.00,4.44,37.439556,24.94541,-43.66,-1.16,56.93,268.48,285.23,16.75,5.69,102,102,0,1
4745,4745,12.7.2023, 012:38:31.00,4.28,37.439556,24.945396,-43.66,-1.16,60.46,268.48,289.16,20.68,4.52,102,102,0,1
4748,4748,12.7.2023, 012:38:32.00,4.5,37.439552,24.945383,-42.44,6.16,58.11,278.25,300.95,22.7,3.51,108,108,0,1
4750,4750,12.7.2023, 012:38:33.00,2.78,37.439552,24.945372,-42.44,6.16,62.81,278.25,312.73,34.47,2.72,114,114,0,1
4754,4754,12.7.2023, 012:38:34.00,2.78,37.439548,24.945364,-40.0,14.69,63.99,290.16,324.18,34.02,2.42,114,114,0,1
4758,4758,12.7.2023, 012:38:35.00,2.83,37.439548,24.945354,-35.13,17.13,65.16,295.99,342.38,46.39,1.99,126,126,0,0
4762,4762,12.7.2023, 012:38:38.00,2.67,37.439552,24.945328,-9.53,41.5,63.99,347.07,73.18,86.12,39.26,150,150,0,0
4766,4766,12.7.2023, 012:38:39.00,1.93,37.43956,24.945324,17.28,42.72,65.16,22.03,74.63,52.6,39.35,138,138,0,0
4770,4770,12.7.2023, 012:38:40.00,2.22,37.439564,24.945326,36.78,28.09,61.64,52.63,75.11,22.48,39.11,108,108,0,0
4773,4773,12.7.2023, 012:38:41.00,3.28,37.439568,24.945332,40.44,17.13,60.46,67.05,75.48,8.43,38.57,96,96,0,0
4775,4775,12.7.2023, 012:38:42.00,3.67,37.439571,24.945343,45.31,11.03,59.29,76.32,75.92,-0.4,37.37,90,90,0,0
4779,4779,12.7.2023, 012:38:43.00,3.98,37.439571,24.945356,41.66,7.38,61.64,79.96,75.45,-4.51,36.2,90,90,0,0
4783,4783,12.7.2023, 012:38:44.00,4.2,37.439571,24.94537,42.88,0.06,59.29,89.92,74.73,-15.19,35.17,84,84,0,0
4787,4787,12.7.2023, 012:38:45.00,4.06,37.439568,24.945381,42.88,6.16,61.64,81.83,73.96,-7.87,34.35,90,90,0,0
4791,4791,12.7.2023, 012:38:46.00,4.3,37.439568,24.945396,40.44,7.38,60.46,79.66,73.31,-6.36,33.05,90,90,0,0
4795,4795,12.7.2023, 012:38:47.00,4.11,37.439564,24.94541,42.88,4.94,58.11,83.43,71.39,-12.04,32.01,84,84,0,0
4799,4799,12.7.2023, 012:38:48.00,4.13,37.439564,24.945423,44.09,6.16,60.46,82.05,71.01,-11.04,30.87,84,84,0,0
4801,4801,12.7.2023, 012:38:49.00,4.17,37.439564,24.945435,42.88,7.38,61.64,80.24,70.45,-9.79,30.01,84,84,0,0
4804,4804,12.7.2023, 012:38:50.00,4.2,37.439564,24.945448,44.09,7.38,62.81,80.5,69.65,-10.85,28.88,84,84,0,0
4808,4808,12.7.2023, 012:38:51.00,4.09,37.439564,24.945463,40.44,9.81,65.16,76.36,68.68,-7.68,27.61,90,90,0,0
4812,4812,12.7.2023, 012:38:52.00,4.22,37.43956,24.945477,46.53,7.38,61.64,80.99,66.6,-14.39,26.63,78,78,0,0
