loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
592,592,12.7.2023, 011:44:25.00,4.2,37.439301,24.945654,20.94,-31.63,58.11,146.49,168.53,22.04,87.96,96,121,1712,1
596,596,12.7.2023, 011:44:26.00,4.06,37.439289,24.94566,17.28,-36.5,59.29,154.66,168.65,13.99,86.75,90,81,1428,1
600,600,12.7.2023, 011:44:27.00,4.35,37.439281,24.945663,22.16,-31.63,59.29,144.99,168.7,23.71,85.95,96,87,1432,1
605,605,12.7.2023, 011:44:28.00,4.15,37.43927,24.945667,23.38,-30.41,59.29,142.45,168.82,26.37,84.37,102,92,1424,1
609,609,12.7.2023, 011:44:29.00,4.26,37.439259,24.945673,22.16,-31.63,60.46,144.99,168.98,23.99,83.16,96,87,1428,1
613,613,12.7.2023, 011:44:30.00,4.59,37.439251,24.945681,25.81,-30.41,56.93,139.67,169.29,29.62,82.31,102,92,1424,1
617,617,12.7.2023, 011:44:31.00,3.91,37.43924,24.945686,18.5,-36.5,61.64,153.12,169.51,16.39,80.7,90,79,1412,1
621,621,12.7.2023, 011:44:32.00,4.06,37.439232,24.94569,17.28,-35.28,59.29,153.9,169.62,15.72,79.9,90,78,1404,1
625,625,12.7.2023, 011:44:33.00,4.26,37.43922,24.945694,12.41,-37.72,59.29,161.79,169.67,7.87,78.73,90,90,1504,1
629,629,12.7.2023, 011:44:34.00,4.32,37.439209,24.945698,8.75,-40.16,58.11,167.71,169.82,2.11,77.15,84,73,1416,1
633,633,12.7.2023, 011:44:35.00,4.22,37.439201,24.9457,16.06,-34.06,59.29,154.75,169.86,15.1,76.38,90,78,1400,1
637,637,12.7.2023, 011:44:36.00,4.22,37.43919,24.945704,20.94,-30.41,59.29,145.45,169.9,24.46,75.2,102,90,1404,1
641,641,12.7.2023, 011:44:37.00,4.48,37.439178,24.945709,20.94,-32.84,55.76,147.48,170.07,22.59,73.63,102,91,1412,1
645,645,12.7.2023, 011:44:38.00,4.26,37.439171,24.945717,20.94,-31.63,60.46,146.49,170.48,23.99,72.75,102,96,1452,1
649,649,12.7.2023, 011:44:39.00,4.5,37.439159,24.945723,19.72,-32.84,58.11,149.02,170.71,21.69,71.56,96,96,1500,1
652,652,12.7.2023, 011:44:40.00,4.28,37.439148,24.945728,18.5,-36.5,60.46,153.12,170.98,17.85,70.36,96,96,1500,1
655,655,12.7.2023, 011:44:41.00,4.15,37.43914,24.94573,23.38,-31.63,53.41,143.53,171.03,27.5,69.19,102,102,1500,1
659,659,12.7.2023, 011:44:42.00,3.56,37.439129,24.945736,28.25,-30.41,59.29,137.11,171.28,34.17,67.99,108,108,1500,1
663,663,12.7.2023, 011:44:43.00,4.24,37.439121,24.94574,14.84,-35.28,62.81,157.18,171.41,14.23,67.2,90,82,1440,1
667,667,12.7.2023, 011:44:44.00,4.22,37.439114,24.945744,11.19,-37.72,58.11,163.48,171.62,8.14,66.4,90,84,1452,1
672,672,12.7.2023, 011:44:45.00,4.22,37.439102,24.945745,13.63,-38.94,58.11,160.71,171.56,10.84,64.88,90,90,1500,1
674,674,12.7.2023, 011:44:46.00,4.39,37.439091,24.945747,9.97,-35.28,58.11,164.22,171.65,7.43,63.7,90,90,1500,1
678,678,12.7.2023, 011:44:47.00,4.32,37.439079,24.945749,8.75,-37.72,56.93,166.94,171.58,4.64,62.18,90,90,1500,1
682,682,12.7.2023, 011:44:48.00,4.22,37.439068,24.945751,7.53,-40.16,55.76,169.38,171.59,2.22,61.03,90,90,1500,1
685,685,12.7.2023, 011:44:49.00,4.37,37.43906,24.945753,8.75,-37.72,56.93,166.94,171.6,4.66,60.26,90,97,1560,1
689,689,12.7.2023, 011:44:50.00,4.37,37.439049,24.945755,12.41,-35.28,55.76,160.63,171.61,10.99,59.11,90,83,1448,1
693,693,12.7.2023, 011:44:51.00,4.26,37.439037,24.945757,12.41,-34.06,58.11,159.99,171.46,11.47,57.58,90,98,1568,1
695,695,12.7.2023, 011:44:52.00,4.39,37.439026,24.945761,17.28,-32.84,61.64,152.25,171.62,19.37,56.41,96,96,1504,1
699,699,12.7.2023, 011:44:53.00,4.44,37.439014,24.945763,7.53,-36.5,58.11,168.34,171.54,3.2,54.89,90,81,1428,1
703,703,12.7.2023, 011:44:54.00,4.35,37.439007,24.945765,9.97,-36.5,56.93,164.72,171.77,7.05,54.09,90,84,1452,1
707,707,12.7.2023, 011:44:55.00,4.41,37.438995,24.945766,6.31,-37.72,58.11,170.5,171.79,1.29,52.94,90,81,1432,1
711,711,12.7.2023, 011:44:56.00,4.37,37.438984,24.94577,7.53,-37.72,58.11,168.71,171.97,3.26,51.77,90,99,1580,1
714,714,12.7.2023, 011:44:57.00,4.43,37.438972,24.945772,9.97,-37.72,58.11,165.2,171.8,6.61,50.25,90,150,2000,1
716,716,12.7.2023, 011:44:58.00,3.61,37.438961,24.945774,-1.0,-40.16,56.93,181.43,171.85,-9.58,49.1,78,86,1568,1
720,720,12.7.2023, 011:44:59.00,4.09,37.438953,24.945774,-4.66,-42.59,54.58,186.24,171.75,-14.49,48.35,72,81,1580,1
724,724,12.7.2023, 011:45:00.00,3.83,37.438942,24.94577,-4.66,-35.28,56.93,187.52,171.01,-16.5,46.89,72,78,1556,1
728,728,12.7.2023, 011:45:01.00,4.15,37.438934,24.945768,2.66,-38.94,54.58,176.1,170.79,-5.31,46.16,84,83,1496,1
732,732,12.7.2023, 011:45:02.00,4.17,37.438923,24.945766,3.88,-38.94,54.58,174.32,170.33,-3.99,45.06,84,84,1500,1
735,735,12.7.2023, 011:45:03.00,4.44,37.438911,24.945766,13.63,-36.5,58.11,159.53,169.95,10.42,43.57,90,90,1500,1
737,737,12.7.2023, 011:45:04.00,4.35,37.4389,24.94577,13.63,-36.5,59.29,159.53,170.17,10.64,42.39,90,98,1572,1
741,741,12.7.2023, 011:45:05.00,4.26,37.438892,24.94577,6.31,-38.94,56.93,170.79,169.9,-0.89,41.65,84,113,1748,1
745,745,12.7.2023, 011:45:06.00,4.33,37.438881,24.945774,-3.44,-37.72,61.64,185.21,169.95,-15.26,40.1,72,93,1680,1
