loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
5545,5545,12.7.2023, 010:55:56.00,6.0,37.439091,24.945526,19.72,-36.5,59.29,151.62,155.32,3.7,69.3,90,90,0,2
5548,5548,12.7.2023, 010:55:57.00,5.61,37.439079,24.945532,16.06,-37.72,61.64,156.93,155.13,-1.8,67.73,84,84,0,2
5550,5550,12.7.2023, 010:55:58.00,5.59,37.439064,24.945538,20.94,-36.5,58.11,150.16,154.98,4.82,66.1,90,90,0,2
5554,5554,12.7.2023, 010:55:59.00,5.91,37.439053,24.945543,18.5,-36.5,61.64,153.12,155.06,1.94,64.88,90,90,0,2
5558,5558,12.7.2023, 010:56:00.00,5.8,37.439037,24.945551,23.38,-40.16,56.93,149.8,154.8,5.01,62.84,90,90,0,2
5562,5562,12.7.2023, 010:56:01.00,5.48,37.439026,24.945557,18.5,-37.72,59.29,153.87,154.81,0.93,61.61,90,90,0,2
5566,5566,12.7.2023, 010:56:02.00,5.57,37.439011,24.945562,20.94,-37.72,59.29,150.97,154.5,3.53,59.7,90,90,0,2
5569,5569,12.7.2023, 010:56:03.00,5.87,37.438999,24.945568,19.72,-32.84,61.64,149.02,154.47,5.45,58.42,90,90,0,2
5572,5572,12.7.2023, 010:56:04.00,5.87,37.438984,24.945574,19.72,-38.94,56.93,153.14,154.31,1.17,56.85,90,90,0,2
5576,5576,12.7.2023, 010:56:05.00,5.41,37.438972,24.945578,17.28,-36.5,60.46,154.66,153.64,-1.02,55.35,90,90,0,2
5580,5580,12.7.2023, 010:56:06.00,5.37,37.438957,24.945583,20.94,-34.06,58.11,148.42,153.62,5.2,53.79,90,90,0,2
5584,5584,12.7.2023, 010:56:07.00,5.87,37.438946,24.945589,14.84,-35.28,59.29,157.18,153.29,-3.89,52.16,84,84,0,2
5588,5588,12.7.2023, 010:56:08.00,5.78,37.438931,24.945595,17.28,-35.28,62.81,153.9,153.17,-0.74,50.6,90,90,0,2
5592,5592,12.7.2023, 010:56:09.00,5.59,37.438919,24.945601,17.28,-32.84,61.64,152.25,153.19,0.95,49.31,90,90,0,2
5596,5596,12.7.2023, 010:56:10.00,5.67,37.438904,24.945606,22.16,-36.5,60.46,148.74,152.75,4.01,47.41,90,90,0,2
5600,5600,12.7.2023, 010:56:11.00,5.5,37.438892,24.945612,18.5,-34.06,62.81,151.49,152.38,0.89,46.19,90,90,0,2
5604,5604,12.7.2023, 010:56:12.00,5.48,37.438877,24.945618,18.5,-37.72,58.11,153.87,151.82,-2.06,44.23,84,84,0,2
5608,5608,12.7.2023, 010:56:13.00,5.46,37.438866,24.945625,22.16,-31.63,56.93,144.99,151.93,6.94,42.94,90,90,0,2
5611,5611,12.7.2023, 010:56:14.00,5.65,37.438854,24.945633,24.59,-32.84,60.46,143.17,152.23,9.06,41.58,90,90,0,2
5613,5613,12.7.2023, 010:56:15.00,5.78,37.438839,24.945641,22.16,-34.06,56.93,146.96,151.85,4.89,39.62,90,90,0,2
5617,5617,12.7.2023, 010:56:16.00,5.69,37.438828,24.945648,22.16,-36.5,56.93,148.74,151.57,2.83,38.33,90,90,0,2
5621,5621,12.7.2023, 010:56:17.00,5.5,37.438812,24.945656,20.94,-32.84,60.46,147.48,151.33,3.85,36.31,90,90,0,2
5625,5625,12.7.2023, 010:56:18.00,5.8,37.438801,24.945662,23.38,-35.28,60.46,146.47,151.09,4.61,35.09,90,90,0,2
5629,5629,12.7.2023, 010:56:19.00,5.52,37.438789,24.945669,16.06,-35.28,56.93,155.52,151.27,-4.25,33.73,84,84,0,2
5632,5632,12.7.2023, 010:56:20.00,5.37,37.438774,24.945675,22.16,-37.72,56.93,149.57,150.51,0.94,31.85,90,90,0,2
5634,5634,12.7.2023, 010:56:21.00,5.48,37.438763,24.945683,18.5,-35.28,61.64,152.33,150.15,-2.18,30.49,84,84,0,2
5638,5638,12.7.2023, 010:56:22.00,5.82,37.438751,24.945688,17.28,-36.5,58.11,154.66,149.81,-4.86,28.94,84,84,0,2
5641,5641,12.7.2023, 010:56:23.00,5.93,37.438736,24.945694,19.72,-35.28,56.93,150.8,149.02,-1.78,27.4,90,90,0,2
5645,5645,12.7.2023, 010:56:24.00,5.69,37.438721,24.945702,22.16,-31.63,59.29,144.99,148.27,3.28,25.39,90,90,0,2
5649,5649,12.7.2023, 010:56:25.00,5.41,37.438709,24.945709,25.81,-34.06,58.11,142.85,148.06,5.22,24.1,90,90,0,2
5653,5653,12.7.2023, 010:56:26.00,5.57,37.438698,24.945717,25.81,-34.06,60.46,142.85,147.64,4.8,22.74,90,90,0,2
5655,5655,12.7.2023, 010:56:27.00,5.67,37.438686,24.945724,24.59,-35.28,56.93,145.12,147.37,2.25,21.13,90,90,0,2
